Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C6","100n","C_0402_1005Metric",63.220600,24.206200,90.000000,bottom
"C7","22u/10V","C_1206_3216Metric",121.392500,45.540000,-90.000000,bottom
"C8","10u/25V","C_1206_3216Metric",118.582500,39.930000,0.000000,bottom
"C10","100n","C_0402_1005Metric",121.348500,33.647380,0.000000,bottom
"C11","100n","C_0603_1608Metric",56.230000,25.410000,0.000000,bottom
"C12","22u/6.3V","C_0805_2012Metric",57.835800,45.694600,90.000000,bottom
"C13","100n","C_0402_1005Metric",66.776600,30.568900,180.000000,bottom
"C26","2.2u","C_1206_3216Metric",73.800000,45.510000,-90.000000,bottom
"C27","10u/25V","C_0805_2012Metric",64.084200,46.863000,0.000000,bottom
"D1","SS34FA","D_SOD-123F",66.960000,45.642500,90.000000,bottom
"D4","SS34FA","D_SOD-123F",91.846400,20.875800,-90.000000,bottom
"D15","SS34FA","D_SOD-123F",89.535700,20.888100,90.000000,bottom
"D16","SS34FA","D_SOD-123F",89.573100,25.869900,-90.000000,bottom
"D17","SS34FA","D_SOD-123F",91.884500,25.895300,90.000000,bottom
"D18","SS34FA","D_SOD-123F",91.871800,30.975300,-90.000000,bottom
"D19","SS34FA","D_SOD-123F",89.560400,30.975300,90.000000,bottom
"D20","SS34FA","D_SOD-123F",91.871800,36.080700,-90.000000,bottom
"D21","SS34FA","D_SOD-123F",89.535000,36.080700,90.000000,bottom
"D22","D_Small","D_SOD-323",106.265980,28.696920,-90.000000,bottom
"D23","SS34FA","D_SOD-123F",117.886480,15.580360,180.000000,bottom
"D24","SS34FA","D_SOD-123F",107.866180,22.499320,180.000000,bottom
"D25","Schottky","D_0603_1608Metric",66.608960,33.472120,-90.000000,bottom
"D30","Schottky","D_0603_1608Metric",77.795120,10.548620,90.000000,bottom
"D31","Schottky","D_0603_1608Metric",76.332080,10.569240,90.000000,bottom
"IC1","74HC595BQ,115","74HC595BQ115",55.537100,33.185100,90.000000,bottom
"IC2","MPM3610AGQV","MPM3610AGQVP",117.432500,44.880000,0.000000,bottom
"IC9","THVD1450DRBR","SON65P300X300X100-9N-D",70.528600,45.509600,0.000000,bottom
"Q1","BC848","SOT-323_SC-70",107.127040,37.764720,180.000000,bottom
"Q3","BC857BS","SOT-363_SC-70-6",77.030000,13.460000,180.000000,bottom
"R1","160","R_0805_2012Metric",64.084200,44.930000,0.000000,bottom
"R2","0.1","R_1206_3216Metric",87.249000,20.853400,-90.000000,bottom
"R3","22","R_0603_1608Metric",93.738700,20.866100,90.000000,bottom
"R4","3.3k","R_0402_1005Metric",66.776600,31.521400,0.000000,bottom
"R5","3.3k","R_0603_1608Metric",51.700000,21.554200,180.000000,bottom
"R6","3.3k","R_0603_1608Metric",51.700000,23.024200,180.000000,bottom
"R9","4.7k","R_0603_1608Metric",51.676300,26.593800,180.000000,bottom
"R10","4.7k","R_0603_1608Metric",51.676300,28.067000,180.000000,bottom
"R11","4.7k","R_0603_1608Metric",51.689100,29.527500,180.000000,bottom
"R12","4.7k","R_0603_1608Metric",51.689000,30.988000,180.000000,bottom
"R13","4.7k","R_0603_1608Metric",51.689100,32.461200,180.000000,bottom
"R14","4.7k","R_0603_1608Metric",51.689100,33.934400,180.000000,bottom
"R15","4.7k","R_0603_1608Metric",51.689000,35.420300,180.000000,bottom
"R16","4.7k","R_0603_1608Metric",51.689000,36.880800,180.000000,bottom
"R17","0.1","R_1206_3216Metric",87.299800,25.933400,-90.000000,bottom
"R18","22","R_0603_1608Metric",93.789500,25.882600,90.000000,bottom
"R19","0.1","R_1206_3216Metric",87.274400,31.000700,-90.000000,bottom
"R20","160","R_0603_1608Metric",64.419480,33.865820,-90.000000,bottom
"R21","22","R_0603_1608Metric",93.802200,30.988000,90.000000,bottom
"R22","0.1","R_1206_3216Metric",87.249000,36.080700,-90.000000,bottom
"R23","22","R_0603_1608Metric",93.776800,36.055400,90.000000,bottom
"R24","1k","R_0402_1005Metric",62.821820,33.322260,-90.000000,bottom
"R25","0.01","R_1206_3216Metric",121.937780,28.420060,0.000000,bottom
"R26","1k","R_0402_1005Metric",64.168020,24.206200,-90.000000,bottom
"R27","22","R_0603_1608Metric",77.886560,16.360140,-90.000000,bottom
"R28","3.3k","R_0603_1608Metric",76.159360,16.360140,90.000000,bottom
"R29","68k","R_0402_1005Metric",114.932500,40.580000,180.000000,bottom
"R30","13k","R_0402_1005Metric",114.957500,39.305000,0.000000,bottom
"R34","220k","R_0603_1608Metric",74.835500,10.575000,90.000000,bottom
"R35","220k","R_0603_1608Metric",79.258160,10.568940,90.000000,bottom
"R72","3.3k","R_0603_1608Metric",51.710000,20.094200,180.000000,bottom
"R78","100","R_1206_3216Metric",77.230000,44.350000,0.000000,bottom
"R79","100","R_1206_3216Metric",77.230000,46.669600,0.000000,bottom
"U1","AVR-64DA48","UQFN-48-1EP_6x6mm_P0.4mm_EP4.62x4.62mm",62.217300,28.765500,-90.000000,bottom
"U2","MIC5235-3.3","SOT-23-5",60.598400,45.909800,-90.000000,bottom
"U3","INA181-A1","SOT-23-6",84.302600,20.764500,-90.000000,bottom
"U5","INA381","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",78.727300,20.713700,90.000000,bottom
"U6","INA381","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",81.241900,20.713700,-90.000000,bottom
"U7","INA181-A1","SOT-23-6",84.378800,25.984200,-90.000000,bottom
"U8","INA381","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",78.790800,25.996900,90.000000,bottom
"U9","INA381","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",81.305400,25.996900,-90.000000,bottom
"U10","INA181-A1","SOT-23-6",84.340700,30.988000,-90.000000,bottom
"U11","INA381","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",78.765400,30.937200,90.000000,bottom
"U12","INA381","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",81.280000,30.937200,-90.000000,bottom
"U13","INA181-A1","SOT-23-6",84.302600,36.093400,-90.000000,bottom
"U14","INA381","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",78.727300,36.017200,90.000000,bottom
"U15","INA381","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",81.241900,36.017200,-90.000000,bottom
"U16","INA181-A4","SOT-23-6",121.914920,31.363920,180.000000,bottom
"X1","ASE-xxxMHz","Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm",56.190000,28.240000,90.000000,bottom
